RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,POINTS,# OF WINS,# OF TOP 10'S,POINTS BEHIND LEAD,RESET POINTS
1,2,Brooks Koepka,17,"2,337",2,7,,
2,1,Matt Kuchar,18,"2,300",2,8,37,
3,3,Rory McIlroy,15,"2,195",2,11,142,
4,4,Xander Schauffele,17,"1,830",2,5,507,
5,5,Gary Woodland,20,"1,789",1,8,548,
6,6,Patrick Cantlay,17,"1,671",1,8,666,
7,7,Dustin Johnson,15,"1,638",1,7,699,
8,8,Paul Casey,18,"1,546",1,6,791,
9,10,Rickie Fowler,17,"1,391",1,6,946,
10,11,Jon Rahm,16,"1,352",1,9,985,
11,9,Justin Rose,13,"1,350",1,6,987,
12,12,Chez Reavie,23,"1,272",1,5,"1,065",
13,18,Tony Finau,21,"1,251",,4,"1,086",
14,13,Charles Howell III,23,"1,245",1,5,"1,092",
15,14,Marc Leishman,17,"1,215",1,6,"1,122",
16,15,Bryson DeChambeau,17,"1,193",1,5,"1,144",
17,16,Justin Thomas,16,"1,188",,5,"1,149",
18,68,Shane Lowry,12,"1,137",1,4,"1,200",
19,17,Adam Scott,14,"1,107",,6,"1,230",
20,44,Tommy Fleetwood,14,"1,073",,5,"1,264",
21,20,Kevin Kisner,21,"1,070",1,3,"1,267",
22,24,Francesco Molinari,13,"1,054",1,3,"1,283",
23,19,Ryan Palmer,18,"1,040",1,5,"1,297",
24,21,Sungjae Im,31,"1,016",,6,"1,321",
25,22,Scott Piercy,21,"1,006",,6,"1,331",
26,26,Webb Simpson,16,"1,004",,4,"1,333",
27,23,Tiger Woods,10,"1,003",1,4,"1,334",
28,25,Sung Kang,24,980,1,4,"1,357",
29,27,Hideki Matsuyama,19,956,,5,"1,381",
30,28,Lucas Glover,22,944,,6,"1,393",
31,29,Corey Conners,23,900,1,3,"1,437",
32,30,Phil Mickelson,17,896,1,2,"1,441",
33,31,Brandt Snedeker,22,893,,4,"1,444",
34,32,C.T. Pan,22,890,1,2,"1,447",
35,33,Keith Mitchell,23,864,1,3,"1,473",
36,34,Kevin Tway,22,858,1,2,"1,479",
37,35,Jason Day,18,848,,6,"1,489",
38,36,Jim Furyk,18,837,,3,"1,500",
39,38,Andrew Putnam,20,833,,3,"1,504",
40,37,Adam Hadwin,21,818,,5,"1,519",
41,42,Rory Sabbatini,23,814,,5,"1,523",
42,39,J.B. Holmes,22,808,1,2,"1,529",
43,40,Kevin Na,17,802,1,3,"1,535",
44,41,Nate Lashley,18,789,1,2,"1,548",
